rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TU292	20240.819097830758	3.421065933145588	0.13329267919894355	25.665820161357388	2.8157041092055976e-145	1.1288157773805241e-141
TU951	8326.329327098316	-3.09794196301715	0.12896760025746956	-24.02108713221345	1.674549638948822e-127	3.3566347512729137e-124
TU3421	2806.5686117839696	-2.271894231603981	0.09959353372581572	-22.811664036930154	3.512407616514914e-115	4.6937473782027635e-112
TU1521	723.2732972863068	-4.233414633701975	0.18719637860384303	-22.61483189619281	3.097085497526592e-113	3.1040539398960264e-110
TU756	1391.8621572041618	-3.3401372896887316	0.15694755215478998	-21.281869285826843	1.6714415293194908e-100	1.3401618182083676e-97
TU1394	912.6438371776205	2.774489221369046	0.14394622779674032	19.27448370016873	8.797384029326391e-83	5.878118762261583e-80
TU1647	1357.2261227295635	-4.155468130095678	0.223931007785939	-18.556912556156536	7.17091653436393e-77	4.106886340894999e-74
TU1641	491.5012285609954	-5.353753056505899	0.2954283664335969	-18.12200067697039	2.1368169112040275e-73	1.0708123746271183e-70
TU1954	3054.242235786515	-1.3495810252904659	0.07583376255985337	-17.79657213006253	7.512901613188967e-71	3.3465802852527297e-68
TU2576	1319.7956217511487	1.9893999231687445	0.11676903747938683	17.037049941598877	4.361857336249944e-65	1.7486686061026023e-62
TU1803	973.5500532948547	-1.6306314331851628	0.09626814565684431	-16.938431939861832	2.3428675825468766e-64	8.538687398573117e-62
TU255	2362.4082872851122	3.0366334381358753	0.1883486328983786	16.12240764059199	1.7755479000970564e-58	5.931809609574249e-56
TU924	26334.147143783593	2.519002803970487	0.1569079564290162	16.054015751011722	5.358215980846897e-58	1.6523913744011698e-55
TU3434	7594.616074410415	-1.3474060578075318	0.08415520196876036	-16.01096576665229	1.0713388615159834e-57	3.0678553541554122e-55
TU2976	1545.9188118634459	1.7637212447656876	0.11105314213814015	15.881777055635009	8.47431053004731e-57	2.2649007276639775e-54
TU3505	889.8164034997167	3.0896042132891113	0.1953541746807312	15.815398971322084	2.436612321277708e-56	6.105236747501457e-54
TU3694	890.0656747942285	-1.6991758753053006	0.10763510678376484	-15.786446690844887	3.857037320285701e-56	9.095801539426691e-54
TU2196	500.53216574100185	-2.02846428973692	0.12863292832406112	-15.769401475698897	5.052631902865198e-56	1.1253334054770322e-53
TU538	105.63042445930675	3.0181668542685656	0.19692688808460976	15.32633193782968	5.099834261912743e-53	1.0760650292635887e-50
TU3504	1228.379668446042	-2.044650007125018	0.1341949064070554	-15.236420381880599	2.0267421688690532e-52	4.062604677498017e-50
TU2582	7854.827126890519	-1.639485961386079	0.10762760052234495	-15.232950966380594	2.1372306999082235e-52	4.0800751790152706e-50
TU2859	963.4153088466924	-1.6034187565133464	0.10719512998977482	-14.957944047143691	1.3823087474305124e-50	2.5189435311131473e-48
TU1960	1386.0737300116334	1.7758637132870947	0.11976677994222917	14.827681884272936	9.702607692582625e-50	1.691206706067989e-47
TU3431	822.0130529386394	-1.4360524188072532	0.09715104241786697	-14.781647042246764	1.924029562917453e-49	3.213931049056695e-47
TU1472	40936.502890119235	-2.0992307931550234	0.1431466647490817	-14.664894895279007	1.0818455230204512e-48	1.7348474807155958e-46
TU823	2427.369134893809	-1.3483436456094131	0.0925169517591202	-14.57401719330312	4.1099478981083313e-48	6.337223509044731e-46
TU335	834.4802382762465	-1.6747624654749027	0.11512977527013875	-14.546736163996373	6.125673998562193e-48	9.09549150379105e-46
TU810	952.4979332304358	1.6407655901035227	0.11338405605517916	14.470866955976883	1.8512399097919533e-47	2.650578856555693e-45
TU2744	1976.224849619489	1.3573316694928514	0.0939143127929186	14.45287336005719	2.404421346867561e-47	3.323905234342087e-45
TU5060	1976.2423054466308	-2.776725103711551	0.19349414625210665	-14.350434664280288	1.0587159953983685e-46	1.4147974751840197e-44
TU445	20640.588377461187	5.630980619141204	0.3937812121987772	14.299769630194383	2.195350648151114e-46	2.8390841123992955e-44
TU2578	2251.2328514107617	-1.5219558793913668	0.10852169035500996	-14.024439486821032	1.1048157508145884e-44	1.3841269828174014e-42
TU3389	1854.889059534715	1.5602364404113191	0.11246561467131445	13.873008607752482	9.232165601346598e-44	1.1215682392666216e-41
TU3355	712.2116475783744	1.5040162627698574	0.10859146560250024	13.850225286352785	1.2681373570273197e-43	1.4952831365654485e-41
TU5051	8752.00327416613	-2.294036376341781	0.16599973478760638	-13.819518321983818	1.9436604348263226e-43	2.2263241952053507e-41
TU2907	847.7747621033285	-1.3842378866307903	0.10024767677344193	-13.808179213560676	2.2750959125431423e-43	2.533572087051516e-41
TU1811	1651.8746445017186	-1.7049852123482836	0.12380575170936724	-13.771453981804653	3.78517581216868e-43	4.1012891435092536e-41
TU282	1515.1182174891712	-2.4108296769982474	0.1783320726598253	-13.518766652799407	1.211905447368247e-41	1.245776650897257e-39
TU2867	670.7460516863799	-1.7202495812832528	0.12723354177383842	-13.520409455716088	1.1851432271067717e-41	1.245776650897257e-39
TU517	514.89956087469	-1.5352739680347949	0.11374856312425366	-13.497084498181597	1.6268779576123365e-41	1.6305384330169642e-39
TU2863	913.0197480427802	-1.2620537509543799	0.09364430185484095	-13.477101392786324	2.1332413876568806e-41	2.0858938349064473e-39
TU1536	537.9346263110267	2.008529309367684	0.14937565542942688	13.446162318709435	3.242701082057754e-41	3.095235389992747e-39
TU5047	1413.1058914036134	-2.4383418409482087	0.1815715950641626	-13.42909302573766	4.083824878072618e-41	3.807454403765844e-39
