rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TU7011	2843.4890001378703	2.0916614588219677	0.1169746619308501	17.881320828765972	1.6488414334509456e-71	6.610205306704841e-68
TU7065	1064.7808799994045	2.6585309595698834	0.16079398654327645	16.533771049045797	2.096095881361676e-61	4.2016241941894796e-58
TU7058	16245.99309529853	2.6090568142450037	0.17082143992646148	15.273591039673947	1.1467994175936626e-52	1.5325062883776644e-49
TU7053	2346.3357073052175	1.5341013371843155	0.10879366342658249	14.101017365037782	3.7433391510491176e-45	3.751761664138978e-42
TU7079	4420.023777812138	2.3664621486895436	0.17411066858002602	13.591712489472481	4.484631484257042e-42	3.595777524077296e-39
TU7087	1241.4079598817048	2.3384936611302525	0.1724160418738366	13.563086333007329	6.628716378204549e-42	4.429087326703673e-39
TU7071	3316.805009150871	1.2830072965689077	0.09800092207672353	13.091788009550148	3.6686866537299176e-39	2.1011092564004627e-36
TU3504	1228.379668446042	1.766129574405431	0.13501543028960528	13.080946160132365	4.2314014026340446e-39	2.1204610278949858e-36
TU292	20240.819097830758	-1.699997992727847	0.13299308624043898	-12.782604275040363	2.0508547291791675e-37	9.135418454754758e-35
TU7088	545.5028413186647	2.082179349426496	0.16748602564193774	12.43195867503544	1.7528611608070257e-35	7.027220393675366e-33
TU3458	362.04281057998946	-1.6154429104948071	0.13017477024359247	-12.40980035894723	2.3122861789930355e-35	8.427232083257345e-33
TU624	309.20271176979384	2.043073829555799	0.16856524668822614	12.120373978003986	8.23823589629202e-34	2.752257309019559e-31
TU1472	40936.502890119235	1.7173138259418117	0.1431727512043576	11.994697395250888	3.7879898244485765e-33	1.1681577850934109e-30
TU1269	1283.2581656294358	-1.3341600734797239	0.11450816861750898	-11.651221826245528	2.2619222389493418e-31	6.47717589710565e-29
TU810	952.4979332304358	-1.316927817001246	0.11339656979195492	-11.613471372347254	3.5202794673858125e-31	9.408533589833147e-29
TU7084	324.09317540151756	2.516796073212512	0.2169612647139346	11.600209265607528	4.1107182977712955e-31	1.0299918534853201e-28
TU538	105.63042445930675	-2.09535333929316	0.180880767692808	-11.58416876498293	4.957522712085005e-31	1.1691005031028696e-28
TU2535	894.9482136001105	1.3594571300420262	0.11780290244234022	11.540098773945113	8.28300542315938e-31	1.8448093745247753e-28
TU1834	988.4268536757187	1.584415185372385	0.13742679512603656	11.529157642942117	9.40595077797011e-31	1.984655614151693e-28
TU7089	420.91992344294556	2.0439264022577963	0.17815498255566442	11.472743411030745	1.8083384237010825e-30	3.62481437030882e-28
TU3557	469.01411063787265	2.009808449775201	0.17828768648726623	11.272839360775187	1.78712172224102e-29	3.4117004687924994e-27
TU276	195.2725217903442	-1.7180110651984455	0.15631879362921425	-10.990431958383335	4.24887711630055e-28	7.742612890567684e-26
TU1063	569.6207565759008	1.3753631318904493	0.1257055791276651	10.941146299430725	7.326761181146274e-28	1.277086329357192e-25
TU3042	324.9002406954768	-1.3359119529716421	0.12217433847207705	-10.934472571561866	7.886322089197584e-28	1.317344385649713e-25
TU958	57557.643397277156	1.2502584276219135	0.11581094315610212	10.795684704308853	3.607633480113654e-27	5.785201048710257e-25
