"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","GO:0015979","photosynthesis","28/211","85/2473",6.41582680560602e-11,8.14810004311964e-09,7.7665271857336e-09,"sll0047/sll0427/sll0629/sll1214/sll1398/sll1579/sll1580/slr0149/slr0506/slr1655/slr1739/slr1834/slr1835/slr1986/slr2051/slr2067/sml0001/sml0008/smr0004/smr0005/smr0006/smr0007/smr0008/ssl3093/ssr0330/ssr3304/ssr3383/ssr3451",28
"GO:0030089","GO:0030089","phycobilisome","9/211","24/2473",8.50455625515165e-05,0.0054003932220213,0.00514749457548653,"sll1579/sll1580/slr0149/slr1986/slr2051/slr2067/slr7023/ssl3093/ssr3383",9
"GO:0030096","GO:0030096","plasma membrane-derived thylakoid photosystem II","9/211","27/2473",0.000242717039318754,0.00770796329368734,0.0073470018961794,"sll0427/sll1398/sll1867/slr0927/sml0001/smr0006/smr0007/smr0008/ssr3451",9
"GO:0042651","GO:0042651","thylakoid membrane","19/211","94/2473",0.000242770497438971,0.00770796329368734,0.0073470018961794,"sll0047/sll0616/sll0629/sll1867/slr0927/slr1034/slr1655/slr1834/slr1835/slr1949/sml0001/sml0008/smr0004/smr0005/smr0006/smr0007/smr0008/ssl3335/ssr3451",19
"GO:0009523","GO:0009523","photosystem II","6/211","13/2473",0.00037036542080083,0.00940728168834109,0.00896674176675694,"sll0047/sll1867/slr0927/smr0006/smr0008/ssr3451",6
"GO:0051607","GO:0051607",NA,"5/211","10/2473",0.000761660507838647,0.0161218140825847,0.0153668348072709,"slr7016/slr7071/slr7092/ssr7017/ssr7093",5
