"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"AP004311.1","AP004311.1","AP004311.1",95,0.694022889493829,3.00563060332775,1e-10,4e-10,NA,775,"tags=68%, list=19%, signal=57%","TU7065/TU7058/TU7084/TU7079/TU7087/TU7078/TU7091/TU7083/TU7011/TU7088/TU7089/TU7086/TU7009/TU7063/TU7038/TU7024/TU7061/TU7010/TU7066/TU7008/TU7082/TU7053/TU7074/TU7015/TU7039/TU7040/TU7014/TU7026/TU7071/TU7037/TU7057/TU7030/TU7017/TU7005/TU7059/TU7012/TU7073/TU7075/TU7097/TU7028/TU7020/TU7035/TU7013/TU7094/TU7060/TU7085/TU7054/TU7042/TU7002/TU7032/TU7048/TU7068/TU7050/TU7062/TU7019/TU7081/TU7031/TU7064/TU7043/TU7051/TU7023/TU7027/TU7080/TU7036/TU7070"
"AP006585.1","AP006585.1","AP006585.1",54,0.494092332069743,1.89416116377816,0.000188665037933458,0.000377330075866915,NA,625,"tags=46%, list=16%, signal=40%","TU6086/TU6031/TU6098/TU6100/TU6056/TU6088/TU6042/TU6032/TU6092/TU6094/TU6089/TU6049/TU6091/TU6027/TU6028/TU6043/TU6103/TU6040/TU6041/TU6084/TU6046/TU6083/TU6044/TU6036/TU6099"
"AP004312.1","AP004312.1","AP004312.1",46,-0.4605491726828,-1.64765089855808,0.00924165991053178,0.0123222132140424,NA,854,"tags=41%, list=21%, signal=33%","TU8024/TU8021/TU8045/TU8030/TU8004/TU8012/TU8028/TU8039/TU8033/TU8044/TU8032/TU8040/TU8003/TU8006/TU8025/TU8017/TU8038/TU8018/TU8041"
"AP004310.1","AP004310.1","AP004310.1",130,-0.309806649434718,-1.31961700629295,0.0487804878048781,0.0487804878048781,NA,405,"tags=18%, list=10%, signal=17%","TU5037/TU5110/TU5065/TU5077/TU5027/TU5034/TU5049/TU5105/TU5042/TU5059/TU5044/TU5023/TU5079/TU5055/TU5043/TU5071/TU5004/TU5019/TU5099/TU5072/TU5109/TU5076/TU5028/TU5074"
