"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"AP004311.1","AP004311.1","AP004311.1",91,0.923961771368736,3.2854577798891,1e-10,2e-10,NA,280,"tags=92%, list=8%, signal=87%","TU7078/TU7079/TU7074/TU7058/TU7084/TU7065/TU7091/TU7028/TU7081/TU7063/TU7083/TU7087/TU7089/TU7086/TU7061/TU7066/TU7088/TU7011/TU7062/TU7095/TU7096/TU7071/TU7094/TU7059/TU7008/TU7009/TU7010/TU7067/TU7075/TU7014/TU7044/TU7069/TU7077/TU7037/TU7085/TU7032/TU7045/TU7031/TU7057/TU7053/TU7026/TU7049/TU7072/TU7060/TU7042/TU7039/TU7030/TU7041/TU7036/TU7012/TU7068/TU7070/TU7004/TU7038/TU7034/TU7025/TU7013/TU7050/TU7055/TU7018/TU7082/TU7020/TU7005/TU7040/TU7035/TU7048/TU7029/TU7051/TU7076/TU7015/TU7024/TU7001/TU7054/TU7052/TU7092/TU7093/TU7023/TU7043/TU7080/TU7046/TU7047/TU7064/TU7021/TU7033"
"AP006585.1","AP006585.1","AP006585.1",41,0.797338194626203,2.4445227120193,1e-10,2e-10,NA,535,"tags=78%, list=15%, signal=67%","TU6049/TU6055/TU6100/TU6089/TU6027/TU6038/TU6047/TU6099/TU6050/TU6083/TU6033/TU6036/TU6046/TU6092/TU6082/TU6037/TU6056/TU6084/TU6028/TU6044/TU6090/TU6042/TU6103/TU6001/TU6098/TU6043/TU6088/TU6032/TU6097/TU6096/TU6040/TU6095"
"AP004310.1","AP004310.1","AP004310.1",114,0.433311367872472,1.58690474829299,0.00447507365668762,0.00596676487558349,NA,834,"tags=40%, list=23%, signal=32%","TU5083/TU5021/TU5117/TU5116/TU5062/TU5081/TU5046/TU5040/TU5015/TU5102/TU5076/TU5100/TU5047/TU5050/TU5075/TU5051/TU5009/TU5064/TU5024/TU5095/TU5060/TU5001/TU5101/TU5057/TU5017/TU5029/TU5071/TU5016/TU5003/TU5119/TU5104/TU5115/TU5107/TU5053/TU5008/TU5025/TU5030/TU5067/TU5002/TU5041/TU5126/TU5020/TU5092/TU5059/TU5066/TU5080"
"AP004312.1","AP004312.1","AP004312.1",41,-0.401312618943094,-1.44932993203077,0.0221329753045196,0.0221329753045196,NA,714,"tags=44%, list=20%, signal=36%","TU8040/TU8030/TU8006/TU8012/TU8021/TU8027/TU8042/TU8011/TU8024/TU8004/TU8031/TU8023/TU8036/TU8046/TU8018/TU8010/TU8033/TU8020"
