"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"5UTR","5UTR","5UTR",272,-0.411820385012074,-2.11968091422841,1e-10,4e-10,NA,846,"tags=41%, list=20%, signal=35%","sll1189_5'UTR/ssl2245_5'UTR/sll1214_5'UTR/slr0164_5'UTR/sll0261_5'UTR/sll1915_5'UTR/slr0918_5'UTR/slr2006_5'UTR/slr0118_5'UTR/slr1030_5'UTR/slr0302_5'UTR/slr1416_5'UTR/slr0476_5'UTR/sll1457_5'UTR/slr0677_5'UTR/slr1634_5'UTR/sll0107_5'UTR/sll0148_5'UTR/sll1546_5'UTR/sll1181_5'UTR/slr0980_5'UTR/slr0404_5'UTR/slr2032_5'UTR/slr0962_5'UTR/slr0114_5'UTR/sll0945_5'UTR/slr0181_5'UTR/sll1194_5'UTR/ssl0020_5'UTR/slr1912_5'UTR/slr1599_5'UTR/slr2023_5'UTR/slr0667_5'UTR/sll1951_5'UTR/sll1316_5'UTR/sll0413_5'UTR/slr0623_5'UTR/slr1790_5'UTR/sll1201_5'UTR/sll1945_5'UTR/sll1556_5'UTR/sll0209_5'UTR/slr0447_5'UTR/sll0401_5'UTR/slr1583_5'UTR/sll0541_5'UTR/sll1321_5'UTR/slr1142_5'UTR/slr1899_5'UTR/slr0250_5'UTR/sll1245_5'UTR/slr1272_5'UTR/sll0502_5'UTR/ssr3467_5'UTR/sll0533_5'UTR/ssl0563_5'UTR/slr0073_5'UTR/slr1187_5'UTR/sll1291_5'UTR/ssl1263_5'UTR/slr1255_5'UTR/ssl0601_5'UTR/sll0993_5'UTR/slr2102_5'UTR/slr1908_5'UTR/ssl2069_5'UTR/slr0384_5'UTR/sll0513_5'UTR/sll0923_5'UTR/slr1022_5'UTR/sll0335_5'UTR/slr0444_5'UTR/slr0966_5'UTR/slr1969_5'UTR/sll1686_5'UTR/sll1783_5'UTR/slr1266_5'UTR/sll1987_5'UTR/sll1878_5'UTR/slr0351_5'UTR/slr1897_5'UTR/slr1146_5'UTR/slr1956_5'UTR/ssr2554_5'UTR/sll0084_5'UTR/sll0524_5'UTR/sll1757_5'UTR/sll1251_5'UTR/slr1847_5'UTR/sll1074_5'UTR/sll1747_5'UTR/sll1867_5'UTR/sll0765_5'UTR/slr0426_5'UTR/ssl1762_5'UTR/slr0093_5'UTR/sll1869_5'UTR/sml0001_5'UTR/ssr3189_5'UTR/slr0022_5'UTR/sll0928_5'UTR/sll0634_5'UTR/ssr1480_5'UTR/Norf4_5'UTR/sll1643_5'UTR/slr1644_5'UTR/sll1555_5'UTR/slr1423_5'UTR/slr0226_5'UTR/slr1667_5'UTR/sml0003_5'UTR"
"tRNA","tRNA","tRNA",35,0.736056744775481,2.28351077866955,5.01258794560995e-07,1.00251758912199e-06,NA,652,"tags=63%, list=15%, signal=54%","6803t14/6803t23/6803t03/6803t27/6803t33/6803t19/6803t28/6803t36/6803t26/6803t38/6803t12/6803t05/6803t42/6803t06/6803t21/6803t02/6803t01/6803t32/6803t17/6803t24/6803t20/6803t09"
"ncRNA","ncRNA","ncRNA",223,-0.290900017441724,-1.44370779340764,0.00222729826581445,0.00296973102108593,NA,627,"tags=28%, list=15%, signal=25%","ncl0580/ncl0400/ncl0740/ncr1470/ncl0710/ncl1720/ncr0330/ncl0520/ncr0980/ncl0040/ncl0150/ncr1420/ncr1300/ncr0970/ncr0810/ncr0240/ncr0730/ncl0700/ncl0540/ncr1060/ncr1290/ncl1180/ncr0560/ncr0780/ncl1530/ncr0720/ncr0870/ncl1255/ncl0640/ncl0110/ncr1690/ncr0340/ncr0620/ncr1610/ncl1050/ncl0530/ncl0215/ncr0570/ncr0580/ncl0030/ncl0880/ncl1290/ncl1610/ncr1525/ncr1580/ncl0850/ncl1480/ncr0850/ncl0870/ncr1030/ncr0380/ncl0050/ncl1500/ncl1710/ncl1210/ncr0250/ncl1800/ncl0370/ncl1580/ncl1790/ncr1550/ncl0250"
"3UTR","3UTR","3UTR",25,0.600222272739337,1.74593047255586,0.00668020129310905,0.00668020129310905,NA,363,"tags=40%, list=8%, signal=37%","slr0476_3'UTR/slr1641_3'UTR/ssl0563_3'UTR/slr0993_3'UTR/Norf1_3'UTR/6803t11_3'UTR/slr0483_3'UTR/slr0228_3'UTR/6803t13_3'UTR/slr2051_3'UTR"
