"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"syn00195","syn00195","Photosynthesis","33/217","63/954",9.92544136913144e-08,6.05451923517018e-06,5.7463081610761e-06,"slr1311/slr0737/sll1327/sll1326/sll1324/sll1323/ssl2615/sll1322/sll1194/smr0005/sml0005/smr0006/slr1834/slr1835/sll1281/sml0007/sll0851/sll0849/slr1329/slr1330/sml0008/sll0819/sll1867/ssr2831/sll0427/sll0258/ssl0563/sml0001/smr0001/slr0342/sll0199/slr0906/smr0004",33
"syn00196","syn00196","Photosynthesis - antenna proteins","12/217","15/954",3.50461440611745e-06,0.000106890739386582,0.000101449364387611,"sll0928/slr2051/ssl3093/sll1580/sll1579/sll1578/sll1577/slr2067/slr1986/ssr3383/slr0335/slr1459",12
"syn00710","syn00710","Carbon fixation in photosynthetic organisms","11/217","18/954",0.000462139051441881,0.00939682737931825,0.00891847292256261,"sll1070/slr2094/sll0807/sll0920/sll1525/slr0394/slr0783/slr0009/slr0012/sll0891/sll1342",11
"syn03010","syn03010","Ribosome","22/217","54/954",0.00176406512899594,0.0269019932171881,0.0255325216038886,"ssr1736/sll1824/ssl3445/sll1819/sml0006/sll1813/sll1808/sll1803/sll1802/sll1800/ssl2233/sll1746/sll1744/slr1356/sll1260/sll1101/sll1097/slr1678/ssr2799/sll0767/slr0469/slr0628",22
