"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","GO:0015979","photosynthesis","27/153","39/438",5.10275282267519e-06,0.000132952030312036,0.000118652841697241,"sll1214/slr0737/sll1194/sll1184/sll0928/sml0005/slr2051/ssl3093/sll1580/sll1579/sll1578/sll1577/slr1834/slr1835/sll1281/sml0007/slr1986/sml0008/sll0819/sll1091/ssr2831/sll0258/slr0335/smr0001/slr0342/slr1459/smr0004",27
"GO:0018298","GO:0018298","protein-chromophore linkage","15/153","17/438",5.78052305704506e-06,0.000132952030312036,0.000118652841697241,"slr1311/sll0928/slr0687/sll1578/sll1577/slr1834/slr1835/sll0851/slr1986/slr1963/sll1867/slr0335/slr0906/sll0041/slr1459",15
"GO:0030089","GO:0030089","phycobilisome","12/153","14/438",0.000108358048039541,0.00166149006993963,0.00148279434159372,"sll0928/slr2051/ssl3093/sll1580/sll1579/sll1578/sll1577/slr1986/slr1963/slr1687/slr0335/slr1459",12
"GO:0042651","GO:0042651","thylakoid membrane","25/153","42/438",0.000546084843108819,0.00627997569575142,0.00560455496874841,"slr1311/sll1326/ssl2615/sll1322/sml0005/sll1814/slr1834/slr1835/sll1281/sml0007/sll0851/slr0261/slr1513/slr1330/sml0008/sll1867/ssr2831/sll0258/ssl0563/smr0001/slr0342/sll0199/slr0906/slr0083/smr0004",25
"GO:0003676","GO:0003676","nucleic acid binding","8/153","10/438",0.00433716260083714,0.0399018959277017,0.0356103876700313,"slr1130/slr0692/sll1910/ssr1480/sll0362/slr0915/slr0083/sll0517",8
"GO:0030096","GO:0030096","plasma membrane-derived thylakoid photosystem II","10/153","14/438",0.00525017031635876,0.0402513057587505,0.0359222179540336,"slr1311/sll1194/sml0005/sll1281/sml0007/sll0851/sll1867/sll0258/smr0001/slr0906",10
