"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"syn00195","syn00195","Photosynthesis","24/90","33/217",8.5890971294854e-05,0.00103069165553825,0.000904115487314253,"slr1311/slr0737/sll1326/ssl2615/sll1322/sll1194/sml0005/slr1834/slr1835/sll1281/sml0007/sll0851/slr1330/sml0008/sll0819/sll1867/ssr2831/sll0258/ssl0563/smr0001/slr0342/sll0199/slr0906/smr0004",24
"syn00196","syn00196","Photosynthesis - antenna proteins","10/90","12/217",0.00307373257356975,0.0184423954414185,0.0161775398608934,"sll0928/slr2051/ssl3093/sll1580/sll1579/sll1578/sll1577/slr1986/slr0335/slr1459",10
