"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"syn00190","syn00190","Oxidative phosphorylation","23/172","49/949",1.76079676342311e-06,9.86046187516943e-05,9.63804544189494e-05,"sll0027/sll0519/sll0520/sll0521/sll0522/sll1322/sll1323/sll1324/sll1325/sll1326/sll1732/sll1733/slr0261/slr1136/slr1137/slr1279/slr1280/slr1281/slr1291/slr1329/slr1623/ssl2615/ssr1386",23
"syn00195","syn00195","Photosynthesis","24/172","62/949",6.18384300741384e-05,0.00173147604207587,0.00169242019150273,"sll0427/sll0629/sll1316/sll1322/sll1323/sll1324/sll1325/sll1326/sll1398/sll1796/sll1867/slr0906/slr0927/slr1311/slr1329/slr1655/slr1828/sml0001/smr0006/smr0007/smr0008/ssl0020/ssl2615/ssr3451",24
