"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"syn00190","syn00190","Oxidative phosphorylation",49,-0.681781027533444,-2.66424575465364,2.96290958449946e-10,1.80737484654467e-08,1.34110644351028e-08,1115,"tags=63%, list=20%, signal=51%","sll0026/slr2083/sll0223/sll1899/sll1262/sll1327/slr1622/sll1223/slr1279/slr1329/slr1137/sll0027/sll1326/ssr1386/sll0519/slr0261/sll1322/slr1136/slr1623/slr1280/sll1324/ssl2615/sll1325/sll1323/sll0522/sll0520/slr1281/sll0521/sll1733/slr1291/sll1732"
"syn00195","syn00195","Photosynthesis",62,-0.604813058299589,-2.49572501337833,6.55358107953808e-09,1.99884222925912e-07,1.48317887589546e-07,1608,"tags=73%, list=29%, signal=52%","sll1382/ssr0390/slr0343/sll0849/slr0342/sml0005/ssl2598/smr0005/slr0737/slr1645/slr1835/slr1643/smr0003/sll0819/sll1182/sll1327/slr1185/slr1834/smr0010/smr0004/sll1317/sll0427/smr0008/sll1796/slr1329/sll1316/slr1655/slr0906/sml0001/sll1326/slr1311/smr0006/smr0007/ssr3451/sll0629/slr1828/slr0927/sll1322/sll1324/ssl2615/sll1325/sll1323/sll1867/ssl0020/sll1398"
"syn03010","syn03010","Ribosome",53,-0.603397009134555,-2.381501632574,8.7319772134594e-08,1.77550203340341e-06,1.31745621115352e-06,1667,"tags=79%, list=30%, signal=56%","slr1356/slr1678/sll1800/sll1260/sll1822/sll1801/sll1096/sll1821/sll1799/sll1808/ssr1604/sll1824/sll1816/sll1802/ssr1398/sll1804/sll1813/sll1806/ssl1784/sll1097/sll1807/ssr1399/ssl3437/sll1809/ssl3432/ssr0482/sll1746/sll1812/sll1817/ssl3436/ssr1736/sll1803/sll1805/sll1811/sll1244/sll0767/ssl1426/sll1743/sll1740/sll1745/slr1984/smr0011"
"syn00240","syn00240","Pyrimidine metabolism",25,-0.671511213829521,-2.21396361343021,3.85950507842545e-05,0.000588574524459881,0.000436733469400775,985,"tags=52%, list=18%, signal=43%","sll1459/sll1108/slr1476/sll1635/slr1616/sll0144/slr1164/sll1258/sll0368/sll1035/sll1852/sll0370/slr0591"
"syn01110","syn01110","Biosynthesis of secondary metabolites",285,-0.287930062308848,-1.48374245355652,0.000372369929361012,0.00454291313820435,0.0033709277815839,1417,"tags=33%, list=26%, signal=26%","sll0902/sll0329/sll1558/slr1022/slr0738/slr0186/slr1289/slr1898/slr0049/slr0506/slr1887/slr1019/slr1808/slr0886/sll1444/slr1790/slr1867/slr0879/slr1055/sll1127/sll1468/sll1185/slr1226/sll1538/sll1172/sll1688/slr2136/slr0444/slr0293/slr1737/sll0513/sll1994/sll1899/sll0179/sll0901/sll1459/sll1108/sll0033/slr2072/sll1479/slr1349/slr0585/slr2130/sll1056/sll1747/slr0526/slr1124/sll1349/sll0158/sll1908/slr1176/sll1363/sll1091/slr0018/slr1510/slr1096/sll0807/sll0421/sll0480/slr1165/sll1342/slr0657/slr1743/slr0611/slr0985/slr1934/slr0966/slr0940/slr0116/slr1736/sll1815/slr1842/sll1797/slr1517/slr2094/slr0394/slr1945/sll0373/slr1843/sll0735/slr2023/sll0418/slr1030/sll0422/sll0018/sll1214/slr0749/slr0348/slr0012/slr0009/sll1852/sll0927/slr0493/sll0019/ssl2084"
"syn03070","syn03070","Bacterial secretion system",14,-0.677401746724891,-1.90719392023153,0.00244582103383876,0.0248658471773607,0.018450930606152,1788,"tags=100%, list=32%, signal=68%","slr1471/sll1180/ssr3307/sll1814/sll1181/slr1531/sll0194/slr1046/sll0616/slr0774/slr0775/ssl2823/ssl3335"
